Date	Vehicle No	Trip No	Package No	Is Duplicate	Created At
25/12/2025	TN59AT0877	2	1206	No	2025-12-27T09:01:02.437Z
25/12/2025	TN59AT0877	2	808	No	2025-12-27T09:01:03.023Z
25/12/2025	TN59AT0877	2	1210	No	2025-12-27T09:01:03.638Z
25/12/2025	TN59AT0877	2	548	No	2025-12-27T09:01:04.250Z
25/12/2025	TN59AT0877	2	563	No	2025-12-27T09:01:04.540Z
25/12/2025	TN59AT0877	2	1208	No	2025-12-27T09:01:04.846Z
25/12/2025	TN59AT0877	2	797	No	2025-12-27T09:01:05.144Z
25/12/2025	TN59AT0877	2	487	No	2025-12-27T09:01:05.439Z
25/12/2025	TN59AT0877	2	796	No	2025-12-27T09:01:05.744Z
25/12/2025	TN59AT0877	2	806	No	2025-12-27T09:01:06.104Z
